oats|Rolled oats, dry|Płatki owsiane, suche
zucchini|Courgette|Cukinia
eggplant|Aubergine|Bakłażan
broccoli|Broccoli|Brokuł
cauliflower|Cauliflower|Kalafior
cabbage|White cabbage|Kapusta biała
spinach|Spinach|Szpinak
lettuce|Leaf lettuce|Sałata liściasta
mushroom|Button mushrooms|Pieczarki
pumpkin|Pumpkin|Dynia
beet_cooked|Beetroot, cooked|Burak, ugotowany
avocado|Avocado|Awokado
apple|Apple|Jabłko
banana|Banana|Banan
pear|Pear|Gruszka
orange|Orange flesh|Miąższ pomarańczy
kiwi|Kiwi|Kiwi
berries|Mixed berries|Mieszanka owoców jagodowych
strawberry|Strawberries|Truskawki
blueberry|Bilberries|Czarne jagody
mango|Mango|Mango
peach|Peach|Brzoskwinia
pineapple|Pineapple|Ananas
lemon|Lemon|Cytryna
walnut|Walnuts|Orzechy włoskie
almond|Almonds|Migdały
peanut|Peanuts|Orzeszki ziemne
sesame|Sesame seeds|Sezam
chia|Chia seeds|Nasiona chia
flax|Flax seeds|Siemię lniane
pumpkin_seed|Pumpkin seeds|Pestki dyni
raisins|Raisins|Rodzynki
apricot_dried|Dried apricots|Suszone morele
dates|Dates|Daktyle
olive_oil|Olive oil|Oliwa z oliwek
butter|Butter|Masło
honey|Honey|Miód
cocoa|Unsweetened cocoa|Kakao bez cukru
tomato_passata|Tomato passata|Passata pomidorowa
coconut_milk|Coconut milk|Mleko kokosowe
soy_milk|Soy drink|Napój sojowy
soy_sauce|Soy sauce|Sos sojowy
garlic|Garlic|Czosnek
herbs|Fresh herbs|Świeże zioła
water|Drinking water|Woda pitna
rice_cooked|Rice, cooked|Ryż, ugotowany
buckwheat_cooked|Buckwheat, cooked|Kasza gryczana, ugotowana
pasta_cooked|Pasta, cooked|Makaron, ugotowany
oatmeal_cooked|Oatmeal made with water|Owsianka na wodzie
potato_cooked|Potatoes, boiled|Ziemniaki, ugotowane
rye_bread|Rye bread|Chleb żytni
cream|Cream, 10% fat|Śmietanka 10%
ricotta|Ricotta|Ricotta
plum|Plum|Śliwka
grapes|Grapes|Winogrona
melon|Melon|Melon
radish|Radish|Rzodkiewka
green_beans|Green beans|Fasolka szparagowa
recipe_001|Oatmeal with banana|Owsianka z bananem
recipe_002|Oatmeal with apple and walnuts|Owsianka z jabłkiem i orzechami
recipe_003|Millet porridge with pumpkin|Jaglanka z dynią
recipe_004|Rice porridge with pear|Ryżanka z gruszką
recipe_005|Buckwheat porridge with mushrooms|Kasza gryczana z pieczarkami
recipe_006|Oatmeal with cocoa and mixed berries|Owsianka z kakao i owocami jagodowymi
recipe_007|Quinoa with mango|Komosa ryżowa z mango
recipe_008|Porridge with raisins and dried apricots|Kasza z rodzynkami i suszonymi morelami
recipe_009|Bulgur with apple|Bulgur z jabłkiem
recipe_010|Oatmeal with berries and seeds|Owsianka z owocami jagodowymi i nasionami
recipe_011|Tomato omelette|Omlet z pomidorami
recipe_012|Spinach omelette|Omlet ze szpinakiem
recipe_013|Mushroom omelette|Omlet z pieczarkami
recipe_014|Broccoli omelette|Omlet z brokułem
recipe_015|Pepper omelette|Omlet z papryką
recipe_016|Courgette omelette|Omlet z cukinią
recipe_017|Chicken omelette|Omlet z kurczakiem
recipe_018|Feta omelette|Omlet z fetą
recipe_019|Green pea omelette|Omlet z zielonym groszkiem
recipe_020|Mozzarella omelette|Omlet z mozzarellą
recipe_021|Greek salad|Sałatka grecka
recipe_022|Tuna and bean salad|Sałatka z tuńczykiem i fasolą
recipe_023|Chicken and avocado salad|Sałatka z kurczakiem i awokado
recipe_024|Beetroot with walnuts|Buraki z orzechami włoskimi
recipe_025|Chickpeas with vegetables|Ciecierzyca z warzywami
recipe_026|Cabbage and apple salad|Surówka z kapusty i jabłka
recipe_027|Egg and radish salad|Sałatka z jajkiem i rzodkiewką
recipe_028|Shrimp and mango salad|Sałatka z krewetkami i mango
recipe_029|Lentil salad|Sałatka z soczewicą
recipe_030|Mozzarella salad|Sałatka z mozzarellą
recipe_031|Creamy pumpkin soup|Zupa krem z dyni
recipe_032|Lentil and tomato soup|Zupa z soczewicą i pomidorami
recipe_033|Chicken and rice soup|Zupa z kurczakiem i ryżem
recipe_034|Vegetable and bean soup|Zupa warzywna z fasolą
recipe_035|Mushroom soup|Zupa pieczarkowa
recipe_036|Creamy broccoli soup|Zupa krem z brokułów
recipe_037|Turkey and bulgur soup|Zupa z indykiem i bulgurem
recipe_038|Cod soup|Zupa z dorszem
recipe_039|Minestrone with pasta|Minestrone z makaronem
recipe_040|Chickpea and spinach soup|Zupa z ciecierzycą i szpinakiem
recipe_041|Chicken and tomato pasta|Makaron z kurczakiem i pomidorami
recipe_042|Tuna pasta|Makaron z tuńczykiem
recipe_043|Spinach and ricotta pasta|Makaron ze szpinakiem i ricottą
recipe_044|Mushroom pasta|Makaron z pieczarkami
recipe_045|Broccoli and cheese pasta|Makaron z brokułem i serem
recipe_046|Pasta with lentil sauce|Makaron z sosem z soczewicy
recipe_047|Shrimp pasta|Makaron z krewetkami
recipe_048|Courgette pasta|Makaron z cukinią
recipe_049|Aubergine pasta|Makaron z bakłażanem
recipe_050|Turkey and pepper pasta|Makaron z indykiem i papryką
recipe_051|Chicken and buckwheat bowl|Bowl z kurczakiem i kaszą gryczaną
recipe_052|Turkey and rice bowl|Bowl z indykiem i ryżem
recipe_053|Quinoa and chickpea bowl|Bowl z komosą ryżową i ciecierzycą
recipe_054|Bulgur and feta bowl|Bowl z bulgurem i fetą
recipe_055|Couscous and tuna bowl|Bowl z kuskusem i tuńczykiem
recipe_056|Rice and tofu bowl|Bowl z ryżem i tofu
recipe_057|Lentil and buckwheat bowl|Bowl z soczewicą i kaszą gryczaną
recipe_058|Quinoa and shrimp bowl|Bowl z komosą ryżową i krewetkami
recipe_059|Millet and bean bowl|Bowl z kaszą jaglaną i fasolą
recipe_060|Rice and egg bowl|Bowl z ryżem i jajkiem
recipe_061|Chicken with potatoes|Kurczak z ziemniakami
recipe_062|Turkey with sweet potato|Indyk z batatem
recipe_063|Chicken with broccoli|Kurczak z brokułem
recipe_064|Chicken with pumpkin|Kurczak z dynią
recipe_065|Turkey with courgette|Indyk z cukinią
recipe_066|Chicken with cauliflower|Kurczak z kalafiorem
recipe_067|Turkey with mushrooms|Indyk z pieczarkami
recipe_068|Chicken with aubergine|Kurczak z bakłażanem
recipe_069|Turkey with carrots and potatoes|Indyk z marchewką i ziemniakami
recipe_070|Chicken with peppers and tomatoes|Kurczak z papryką i pomidorami
recipe_071|Salmon with broccoli|Łosoś z brokułem
recipe_072|Cod with potatoes|Dorsz z ziemniakami
recipe_073|Salmon with courgette|Łosoś z cukinią
recipe_074|Cod with tomatoes|Dorsz z pomidorami
recipe_075|Salmon with cauliflower|Łosoś z kalafiorem
recipe_076|Cod with carrots|Dorsz z marchewką
recipe_077|Salmon with sweet potato|Łosoś z batatem
recipe_078|Cod with peppers|Dorsz z papryką
recipe_079|Salmon with spinach|Łosoś ze szpinakiem
recipe_080|Cod with pumpkin|Dorsz z dynią
recipe_081|Chickpeas and vegetables in tomato sauce|Ciecierzyca z warzywami w sosie pomidorowym
recipe_082|Lentils with mushrooms|Soczewica z pieczarkami
recipe_083|Beans with peppers|Fasola z papryką
recipe_084|Tofu with broccoli|Tofu z brokułem
recipe_085|Chickpeas with pumpkin|Ciecierzyca z dynią
recipe_086|Lentils with spinach|Soczewica ze szpinakiem
recipe_087|Beans with aubergine|Fasola z bakłażanem
recipe_088|Tofu with courgette and carrots|Tofu z cukinią i marchewką
recipe_089|Peas with cauliflower|Groszek z kalafiorem
recipe_090|Chickpeas with mushrooms and peppers|Ciecierzyca z pieczarkami i papryką
recipe_091|Avocado and egg toast|Tost z awokado i jajkiem
recipe_092|Quark and cucumber toast|Tost z twarogiem i ogórkiem
recipe_093|Tuna toast|Tost z tuńczykiem
recipe_094|Chicken toast|Tost z kurczakiem
recipe_095|Mozzarella toast|Tost z mozzarellą
recipe_096|Toast with chickpea spread|Tost z pastą z ciecierzycy
recipe_097|Toast with bean spread|Tost z pastą z fasoli
recipe_098|Turkey toast|Tost z indykiem
recipe_099|Ricotta and pear toast|Tost z ricottą i gruszką
recipe_100|Banana and peanut toast|Tost z bananem i orzeszkami ziemnymi
recipe_101|Banana and berry smoothie|Koktajl z bananem i owocami jagodowymi
recipe_102|Mango smoothie|Koktajl z mango
recipe_103|Pear and oat smoothie|Koktajl z gruszką i płatkami owsianymi
recipe_104|Kiwi and spinach smoothie|Koktajl z kiwi i szpinakiem
recipe_105|Strawberry smoothie|Koktajl truskawkowy
recipe_106|Chocolate smoothie|Koktajl czekoladowy
recipe_107|Peach smoothie|Koktajl brzoskwiniowy
recipe_108|Pineapple smoothie|Koktajl ananasowy
recipe_109|Bilberry smoothie|Koktajl jagodowy
recipe_110|Apple and carrot smoothie|Koktajl jabłkowo-marchewkowy
recipe_111|Quark and berry cup|Deser twarogowy z owocami jagodowymi
recipe_112|Yogurt with mango and chia|Jogurt z mango i chia
recipe_113|Quark with banana and cocoa|Twaróg z bananem i kakao
recipe_114|Yogurt with apple and walnuts|Jogurt z jabłkiem i orzechami
recipe_115|Ricotta with peach|Ricotta z brzoskwinią
recipe_116|Quark with dried apricots|Twaróg z suszonymi morelami
recipe_117|Yogurt with pear and almonds|Jogurt z gruszką i migdałami
recipe_118|Banana and peanut cup|Deser bananowy z orzeszkami ziemnymi
recipe_119|Quark with bilberries|Twaróg z jagodami
recipe_120|Yogurt with dates and cocoa|Jogurt z daktylami i kakao
